bc_wells,subcluster
04_89_88,D7_1
04_89_91,D7_3
04_90_05,D7_2
04_90_48,D7_1
04_91_03,D7_1
04_91_27,D7_1
04_91_29,D7_2
04_91_58,D7_2
04_91_69,D7_1
04_91_95,D7_1
04_92_25,D7_2
04_92_37,D7_1
04_92_52,D7_4
04_92_61,D7_1
04_92_94,D7_1
04_93_04,D7_1
04_93_24,D7_1
04_93_28,D7_3
04_93_30,D7_4
04_93_89,D7_1
04_94_07,D7_1
04_94_14,D7_1
04_94_39,D7_1
04_94_79,D7_1
04_94_81,D7_2
04_94_88,D7_4
04_94_93,D7_2
04_95_13,D7_2
04_95_39,D7_1
04_95_50,D7_1
04_95_54,D7_2
04_95_55,D7_3
04_96_96,D7_1
05_01_08,D7_1
05_01_15,D7_1
05_01_25,D7_4
05_01_26,D7_2
05_01_35,D7_1
05_01_58,D7_1
05_01_61,D7_4
05_02_59,D7_3
05_02_66,D7_2
05_02_70,D7_1
05_02_78,D7_2
05_02_82,D7_1
05_02_96,D7_1
05_03_01,D7_2
05_03_15,D7_1
05_03_18,D7_3
05_03_26,D7_1
05_03_36,D7_4
05_03_40,D7_2
05_03_73,D7_4
05_03_84,D7_2
05_03_85,D7_4
05_03_88,D7_1
05_04_11,D7_4
05_04_43,D7_2
05_04_52,D7_1
05_04_63,D7_2
05_04_75,D7_3
05_04_93,D7_4
05_05_16,D7_1
05_05_28,D7_2
05_05_43,D7_1
05_05_55,D7_2
05_05_56,D7_1
05_05_64,D7_1
05_05_71,D7_4
05_05_90,D7_2
05_06_45,D7_1
05_06_76,D7_2
05_06_80,D7_4
05_06_91,D7_1
05_07_05,D7_1
05_07_15,D7_1
05_07_18,D7_2
05_07_46,D7_1
05_07_84,D7_1
05_07_96,D7_4
05_08_20,D7_1
05_08_28,D7_3
05_08_52,D7_1
05_08_61,D7_1
05_08_79,D7_1
05_09_29,D7_1
05_09_46,D7_2
05_09_73,D7_4
05_09_82,D7_4
05_10_04,D7_1
05_10_18,D7_1
05_10_31,D7_1
05_10_58,D7_1
05_10_67,D7_2
05_11_06,D7_1
05_11_17,D7_4
05_11_68,D7_1
05_12_03,D7_1
05_12_10,D7_1
05_12_22,D7_1
05_12_27,D7_1
05_12_41,D7_1
05_12_53,D7_1
05_12_66,D7_1
05_13_45,D7_1
05_13_51,D7_1
05_13_87,D7_2
05_14_03,D7_4
05_14_10,D7_4
05_14_22,D7_1
05_14_51,D7_1
05_14_73,D7_4
05_14_78,D7_2
05_14_88,D7_4
05_14_92,D7_1
05_15_09,D7_2
05_15_14,D7_1
05_15_19,D7_1
05_15_21,D7_1
05_15_25,D7_1
05_15_44,D7_4
05_15_56,D7_1
05_15_70,D7_1
05_15_86,D7_2
05_15_90,D7_2
05_15_93,D7_1
05_16_12,D7_2
05_16_37,D7_1
05_16_46,D7_2
05_16_51,D7_1
05_16_53,D7_4
05_16_59,D7_3
05_16_74,D7_4
05_16_94,D7_1
05_17_25,D7_2
05_17_29,D7_2
05_17_33,D7_1
05_17_88,D7_4
05_17_92,D7_1
05_18_06,D7_1
05_18_09,D7_4
05_18_26,D7_3
05_18_28,D7_2
05_18_62,D7_4
05_18_78,D7_2
05_18_89,D7_1
05_18_95,D7_1
05_19_05,D7_1
05_19_62,D7_1
05_19_78,D7_1
05_20_21,D7_1
05_20_32,D7_2
05_20_49,D7_1
05_20_52,D7_3
05_20_58,D7_2
05_20_71,D7_1
05_21_14,D7_2
05_21_65,D7_4
05_21_66,D7_3
05_21_89,D7_1
05_22_29,D7_3
05_22_66,D7_2
05_23_52,D7_1
05_24_02,D7_2
05_24_08,D7_4
05_24_09,D7_2
05_24_19,D7_4
05_24_22,D7_1
05_24_35,D7_1
05_24_38,D7_4
05_24_39,D7_3
05_24_47,D7_1
05_24_52,D7_4
05_24_56,D7_2
05_24_72,D7_1
05_24_78,D7_3
05_24_79,D7_4
05_24_82,D7_1
05_24_88,D7_4
05_24_91,D7_1
05_24_92,D7_1
05_25_04,D7_1
05_25_08,D7_1
05_25_10,D7_1
05_25_14,D7_4
05_25_29,D7_4
05_25_66,D7_3
05_26_05,D7_2
05_26_36,D7_1
05_26_75,D7_2
05_26_80,D7_1
05_27_01,D7_1
05_27_51,D7_1
05_27_62,D7_3
05_28_14,D7_1
05_28_21,D7_1
05_28_22,D7_1
05_28_25,D7_3
05_28_50,D7_1
05_28_94,D7_1
05_28_95,D7_1
05_28_96,D7_2
05_29_09,D7_1
05_29_20,D7_2
05_29_38,D7_2
05_29_52,D7_4
05_29_71,D7_1
05_30_43,D7_4
05_30_48,D7_4
05_30_75,D7_1
05_30_86,D7_1
05_30_94,D7_3
05_31_04,D7_2
05_31_07,D7_1
05_31_18,D7_2
05_31_27,D7_1
05_31_28,D7_1
05_31_55,D7_4
05_31_70,D7_1
05_31_73,D7_1
05_32_39,D7_4
05_32_87,D7_1
05_32_89,D7_1
05_33_02,D7_2
05_33_12,D7_4
05_33_48,D7_1
05_33_59,D7_2
05_33_61,D7_1
05_33_89,D7_2
05_33_95,D7_1
05_34_08,D7_1
05_34_28,D7_4
05_34_63,D7_1
05_34_68,D7_4
05_34_72,D7_1
05_34_81,D7_1
05_35_03,D7_1
05_35_42,D7_1
05_35_69,D7_4
05_36_06,D7_2
05_36_24,D7_2
05_36_35,D7_1
05_36_53,D7_4
05_36_57,D7_1
05_36_61,D7_1
05_36_74,D7_1
05_37_21,D7_1
05_37_39,D7_1
05_37_42,D7_1
05_37_44,D7_4
05_37_57,D7_1
05_37_60,D7_3
05_37_73,D7_1
05_37_75,D7_1
05_38_06,D7_2
05_38_14,D7_1
05_38_43,D7_3
05_38_54,D7_1
05_38_71,D7_1
05_39_04,D7_2
05_39_28,D7_4
05_39_30,D7_4
05_39_39,D7_2
05_39_42,D7_3
05_39_51,D7_2
05_39_64,D7_2
05_39_77,D7_1
05_39_80,D7_1
05_39_88,D7_4
05_40_04,D7_1
05_40_05,D7_4
05_40_12,D7_1
05_40_21,D7_2
05_40_35,D7_4
05_40_54,D7_4
05_40_67,D7_2
05_40_85,D7_4
05_40_86,D7_1
05_40_87,D7_2
05_41_01,D7_2
05_41_03,D7_4
05_41_07,D7_1
05_41_10,D7_1
05_41_25,D7_1
05_41_27,D7_2
05_41_31,D7_1
05_41_34,D7_1
05_41_36,D7_1
05_41_42,D7_1
05_41_53,D7_3
05_41_73,D7_4
05_41_74,D7_3
05_42_03,D7_4
05_42_09,D7_2
05_42_28,D7_1
05_42_42,D7_1
05_42_49,D7_4
05_42_57,D7_1
05_42_84,D7_2
05_42_86,D7_1
05_42_92,D7_4
05_43_11,D7_1
05_43_20,D7_4
05_43_25,D7_1
05_43_40,D7_4
05_43_49,D7_1
05_44_21,D7_2
05_44_34,D7_4
05_44_37,D7_1
05_44_48,D7_4
05_44_51,D7_1
05_44_53,D7_2
05_44_55,D7_4
05_44_61,D7_2
05_44_77,D7_1
05_45_95,D7_2
05_46_08,D7_4
05_46_11,D7_1
05_46_34,D7_1
05_46_79,D7_1
05_46_81,D7_1
05_46_83,D7_2
05_46_88,D7_1
05_47_22,D7_1
05_47_62,D7_1
05_47_63,D7_2
05_47_77,D7_1
05_47_90,D7_3
05_47_93,D7_1
05_47_96,D7_1
05_48_04,D7_1
05_48_25,D7_1
05_48_35,D7_1
05_48_46,D7_3
05_48_68,D7_1
05_49_12,D7_2
05_49_17,D7_2
05_49_18,D7_1
05_49_26,D7_3
05_49_27,D7_3
05_49_32,D7_1
05_50_06,D7_2
05_50_09,D7_2
05_50_12,D7_1
05_50_17,D7_1
05_50_27,D7_1
05_50_30,D7_1
05_50_31,D7_4
05_50_37,D7_3
05_50_40,D7_4
05_50_64,D7_1
05_50_86,D7_1
05_50_90,D7_1
05_50_93,D7_1
05_51_06,D7_1
05_51_09,D7_4
05_51_72,D7_4
05_52_04,D7_1
05_52_14,D7_1
05_52_15,D7_2
05_52_20,D7_1
05_52_49,D7_4
05_52_67,D7_4
05_52_76,D7_4
05_52_77,D7_1
05_52_84,D7_1
05_52_85,D7_1
05_53_08,D7_1
05_53_30,D7_4
05_53_62,D7_2
05_53_88,D7_1
05_54_38,D7_3
05_54_73,D7_1
05_55_07,D7_2
05_55_28,D7_1
05_55_35,D7_1
05_56_94,D7_1
05_57_19,D7_2
05_57_22,D7_3
05_57_50,D7_4
05_57_78,D7_1
05_58_13,D7_4
05_58_15,D7_1
05_58_43,D7_1
05_58_64,D7_4
05_58_67,D7_2
05_58_82,D7_1
05_59_20,D7_1
05_59_32,D7_4
05_59_62,D7_2
05_59_72,D7_1
05_59_73,D7_1
05_60_30,D7_2
05_60_36,D7_4
05_60_65,D7_3
05_60_68,D7_1
05_61_10,D7_1
05_61_35,D7_1
05_61_48,D7_1
05_61_54,D7_2
05_61_55,D7_2
05_61_81,D7_3
05_61_90,D7_3
05_62_09,D7_2
05_62_26,D7_2
05_62_37,D7_4
05_62_47,D7_1
05_62_56,D7_1
05_62_62,D7_2
05_62_77,D7_1
05_62_89,D7_1
05_63_12,D7_1
05_63_21,D7_2
05_63_73,D7_4
05_63_74,D7_1
05_63_79,D7_1
05_63_86,D7_2
05_64_19,D7_1
05_64_23,D7_4
05_64_34,D7_2
05_64_79,D7_2
05_65_11,D7_2
05_65_53,D7_2
05_65_54,D7_2
05_65_55,D7_1
05_65_56,D7_1
05_65_69,D7_1
05_66_06,D7_4
05_66_12,D7_4
05_66_30,D7_1
05_66_38,D7_1
05_66_42,D7_1
05_66_68,D7_3
05_66_86,D7_1
05_67_05,D7_1
05_67_27,D7_4
05_67_44,D7_3
05_67_65,D7_1
05_68_04,D7_1
05_68_12,D7_1
05_68_32,D7_1
05_68_37,D7_1
05_68_59,D7_4
05_68_63,D7_1
05_68_64,D7_2
05_68_95,D7_1
05_69_37,D7_1
05_69_85,D7_2
05_70_32,D7_1
05_70_52,D7_2
05_70_62,D7_1
05_70_64,D7_2
05_70_78,D7_1
05_70_88,D7_2
05_71_25,D7_4
05_71_28,D7_2
05_71_34,D7_1
05_71_56,D7_2
05_71_61,D7_4
05_71_78,D7_1
05_72_03,D7_1
05_72_26,D7_1
05_72_60,D7_2
05_73_15,D7_2
05_73_34,D7_2
05_73_50,D7_1
05_73_52,D7_4
05_73_63,D7_1
05_73_88,D7_1
05_74_15,D7_4
05_74_17,D7_1
05_74_24,D7_1
05_74_44,D7_1
05_74_50,D7_2
05_74_72,D7_1
05_74_82,D7_1
05_74_87,D7_4
05_74_90,D7_4
05_75_13,D7_2
05_75_20,D7_3
05_75_30,D7_1
05_75_31,D7_2
05_75_34,D7_3
05_75_37,D7_4
05_75_57,D7_4
05_75_70,D7_1
05_75_87,D7_1
05_75_93,D7_1
05_76_31,D7_1
05_76_37,D7_2
05_76_53,D7_1
05_76_59,D7_2
05_76_72,D7_1
05_76_90,D7_1
05_76_92,D7_2
05_76_96,D7_2
05_77_08,D7_4
05_77_21,D7_2
05_77_36,D7_1
05_77_40,D7_1
05_77_43,D7_2
05_77_66,D7_4
05_77_69,D7_1
05_78_03,D7_1
05_78_07,D7_2
05_78_20,D7_1
05_78_27,D7_1
05_78_58,D7_4
05_78_65,D7_1
05_78_68,D7_1
05_78_69,D7_1
05_78_80,D7_1
05_78_88,D7_1
05_79_18,D7_1
05_79_32,D7_1
05_79_34,D7_4
05_79_43,D7_1
05_79_81,D7_1
05_79_84,D7_1
05_80_23,D7_1
05_80_25,D7_4
05_80_50,D7_2
05_80_72,D7_2
05_80_76,D7_3
05_80_96,D7_1
05_81_64,D7_2
05_81_76,D7_1
05_81_86,D7_1
05_82_07,D7_4
05_82_46,D7_4
05_82_71,D7_1
05_82_85,D7_1
05_83_16,D7_3
05_83_54,D7_3
05_83_69,D7_3
05_84_04,D7_2
05_84_30,D7_1
05_85_12,D7_2
05_85_62,D7_4
05_85_65,D7_1
05_86_56,D7_1
05_86_86,D7_4
05_87_01,D7_1
05_87_09,D7_1
05_87_12,D7_3
05_87_36,D7_1
05_87_42,D7_2
05_87_51,D7_2
05_87_72,D7_2
05_87_86,D7_2
05_87_91,D7_1
05_88_16,D7_1
05_88_19,D7_2
05_88_44,D7_4
05_88_48,D7_3
05_88_88,D7_4
05_89_02,D7_1
05_89_23,D7_2
05_89_46,D7_1
05_90_22,D7_1
05_90_42,D7_1
05_90_52,D7_1
05_91_62,D7_4
05_91_66,D7_1
05_91_83,D7_1
05_92_05,D7_4
05_92_07,D7_3
05_92_14,D7_2
05_92_65,D7_1
05_92_73,D7_1
05_93_01,D7_1
05_93_02,D7_4
05_93_12,D7_1
05_93_29,D7_1
05_93_30,D7_3
05_93_75,D7_1
05_94_06,D7_2
05_94_11,D7_4
05_94_16,D7_1
05_94_22,D7_3
05_94_72,D7_3
05_94_93,D7_1
05_95_18,D7_3
05_95_35,D7_2
06_01_06,D7_4
06_01_08,D7_1
06_01_30,D7_1
06_01_40,D7_4
06_01_69,D7_1
06_01_70,D7_2
06_02_10,D7_1
06_02_26,D7_4
06_02_27,D7_4
06_02_82,D7_1
06_03_03,D7_1
06_03_26,D7_1
06_03_37,D7_1
06_03_62,D7_1
06_03_71,D7_1
06_03_78,D7_2
06_03_86,D7_4
06_03_89,D7_1
06_04_09,D7_3
06_04_13,D7_2
06_04_20,D7_2
06_04_45,D7_1
06_04_54,D7_2
06_04_58,D7_2
06_04_70,D7_3
06_04_75,D7_1
06_05_12,D7_3
06_05_27,D7_1
06_05_57,D7_2
06_05_58,D7_1
06_05_67,D7_1
06_05_84,D7_2
