cell_id,cell_type,lineage,level_1,level_2,level_3,level_4,level_5
CL:0000557,granulocyte monocyte progenitor cell,"['myeloid cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",myeloid cell,hematopoietic cell,,,
CL:0000936,early lymphoid progenitor,"['hematopoietic multipotent progenitor cell', 'hematopoietic precursor cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",hematopoietic multipotent progenitor cell,hematopoietic precursor cell,hematopoietic cell,,
CL:0000049,common myeloid progenitor,"['hematopoietic oligopotent progenitor cell', 'hematopoietic precursor cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",hematopoietic oligopotent progenitor cell,hematopoietic precursor cell,hematopoietic cell,,
CL:0000037,hematopoietic stem cell,"['somatic stem cell', 'stem cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",,,,,
CL:0000057,fibroblast,"['connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",,,,,
CL:0002553,fibroblast of lung,"['fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,,,,
CL:0002620,skin fibroblast,"['fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,,,,
CL:0000186,myofibroblast cell,"['contractile cell', 'native cell', 'cell']",,,,,
CL:0002241,pulmonary interstitial fibroblast,"['fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,,,,
CL:1000692,kidney interstitial fibroblast,"['fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,,,,
CL:4023054,mesothelial fibroblast,"['fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,,,,
CL:4028006,alveolar type 2 fibroblast cell,"['pulmonary interstitial fibroblast', 'fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,fibroblast,,,
CL:2000093,bronchus fibroblast of lung,"['fibroblast of lung', 'fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,fibroblast,,,
CL:1000305,fibroblast of connective tissue of glandular part of prostate,"['fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,,,,
CL:1000304,fibroblast of connective tissue of nonglandular part of prostate,"['fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,,,,
CL:0011027,skeletal muscle fibroblast,"['cell of skeletal muscle', 'somatic cell', 'native cell', 'cell']",,,,,
CL:4006000,fibroblast of breast,"['fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,,,,
CL:0002548,fibroblast of cardiac tissue,"['fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,,,,
CL:0009099,fibro/adipogenic progenitor cell,"['mesenchymal cell', 'motile cell', 'native cell', 'cell']",mesenchymal cell,,,,
CL:2000042,embryonic fibroblast,"['fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,,,,
CL:0002555,fibroblast of mammary gland,"['fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,,,,
CL:4028004,alveolar type 1 fibroblast cell,"['pulmonary interstitial fibroblast', 'fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,fibroblast,,,
CL:0008019,mesenchymal cell,"['motile cell', 'native cell', 'cell']",,,,,
CL:0000632,hepatic stellate cell,"['fibroblast', 'connective tissue cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",fibroblast,,,,
CL:0000359,vascular associated smooth muscle cell,"['smooth muscle cell', 'non-striated muscle cell', 'muscle cell', 'contractile cell', 'native cell', 'cell']",,,,,
CL:0000669,pericyte,"['contractile cell', 'native cell', 'cell']",,,,,
CL:0008034,mural cell,"['somatic cell', 'native cell', 'cell']",,,,,
CL:0000136,fat cell,"['stuff accumulating cell', 'native cell', 'cell']",,,,,
CL:0000134,mesenchymal stem cell,"['multi fate stem cell', 'stem cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",,,,,
CL:0000077,mesothelial cell,"['squamous epithelial cell', 'epithelial cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",epithelial cell,epithelial cell,,,
